timestamp,open,high,low,close,volume_btc,volume_usd
2023-01-01 00:00:00,30000.0,30063.73,29982.59,30029.8,41.6775,1251567.11
2023-01-01 01:00:00,30029.8,30045.08,30007.33,30021.5,44.1414,1325190.98
2023-01-01 02:00:00,30021.5,30090.26,29974.67,30060.39,21.9459,659702.27
2023-01-01 03:00:00,30060.39,30157.47,30031.41,30151.95,19.0471,574307.28
2023-01-01 04:00:00,30151.95,30211.81,30063.33,30137.83,30.8286,929107.21
2023-01-01 05:00:00,30137.83,30176.39,30091.01,30123.72,3.3697,101507.9
2023-01-01 06:00:00,30123.72,30268.91,30023.77,30218.86,34.7205,1049214.07
2023-01-01 07:00:00,30218.86,30304.33,30140.93,30265.25,39.2232,1187099.8
2023-01-01 08:00:00,30265.25,30307.63,30225.25,30236.83,20.1734,609979.64
2023-01-01 09:00:00,30236.83,30310.57,30128.48,30269.64,9.1435,276770.45
2023-01-01 10:00:00,30269.64,30315.74,30201.44,30241.58,1.9265,58260.41
2023-01-01 11:00:00,30241.58,30284.15,30191.01,30213.42,32.0437,968149.62
2023-01-01 12:00:00,30213.42,30293.83,30184.1,30228.04,13.8152,417606.37
2023-01-01 13:00:00,30228.04,30251.33,30060.05,30112.37,23.4625,706511.41
2023-01-01 14:00:00,30112.37,30153.52,29982.34,30008.48,19.6246,588904.5
2023-01-01 15:00:00,30008.48,30010.56,29971.16,29974.74,9.1568,274472.68
2023-01-01 16:00:00,29974.74,30028.42,29847.06,29914.02,25.6642,767719.36
2023-01-01 17:00:00,29914.02,29955.74,29838.18,29932.82,23.2499,695935.06
2023-01-01 18:00:00,29932.82,29968.56,29830.52,29878.46,31.3953,938043.22
2023-01-01 19:00:00,29878.46,29968.19,29703.02,29794.07,12.9683,386378.38
2023-01-01 20:00:00,29794.07,29958.64,29683.4,29881.4,11.1246,332418.63
2023-01-01 21:00:00,29881.4,29911.61,29857.66,29867.91,40.8101,1218912.29
2023-01-01 22:00:00,29867.91,29939.99,29860.46,29871.94,35.2585,1053239.84
2023-01-01 23:00:00,29871.94,29875.18,29770.01,29786.82,38.7242,1153470.83
2023-01-02 00:00:00,29786.82,29825.09,29707.67,29754.39,6.6028,196462.29
2023-01-02 01:00:00,29754.39,29834.88,29685.63,29760.99,11.59,344929.89
2023-01-02 02:00:00,29760.99,29773.27,29598.8,29692.48,28.9888,860749.42
2023-01-02 03:00:00,29692.48,29727.55,29647.81,29714.79,42.9315,1275700.62
2023-01-02 04:00:00,29714.79,29800.02,29674.96,29679.1,44.6597,1325459.57
2023-01-02 05:00:00,29679.1,29683.25,29639.29,29661.78,41.6795,1236288.27
2023-01-02 06:00:00,29661.78,29702.95,29605.08,29626.09,2.6482,78455.8
2023-01-02 07:00:00,29626.09,29783.12,29566.79,29735.84,41.1335,1223139.12
2023-01-02 08:00:00,29735.84,29761.06,29669.44,29735.04,45.005,1338225.3
2023-01-02 09:00:00,29735.04,29762.1,29648.81,29672.13,3.3091,98188.06
2023-01-02 10:00:00,29672.13,29819.79,29635.72,29720.95,21.1059,627287.34
2023-01-02 11:00:00,29720.95,29745.71,29641.27,29648.38,27.0622,802350.33
2023-01-02 12:00:00,29648.38,29675.98,29603.72,29660.76,12.0211,356555.0
2023-01-02 13:00:00,29660.76,29676.41,29537.13,29544.51,26.0759,770399.75
2023-01-02 14:00:00,29544.51,29575.44,29405.17,29466.03,44.3548,1306959.91
2023-01-02 15:00:00,29466.03,29576.92,29389.92,29477.63,43.4137,1279733.09
2023-01-02 16:00:00,29477.63,29527.35,29460.19,29521.17,47.0219,1388141.45
2023-01-02 17:00:00,29521.17,29542.12,29517.58,29531.29,24.4634,722435.68
2023-01-02 18:00:00,29531.29,29544.25,29390.85,29524.46,20.8231,614790.71
2023-01-02 19:00:00,29524.46,29530.68,29452.38,29506.68,33.4565,987190.13
2023-01-02 20:00:00,29506.68,29548.09,29378.74,29419.42,21.1296,621620.66
2023-01-02 21:00:00,29419.42,29425.43,29329.66,29377.07,2.5763,75684.14
2023-01-02 22:00:00,29377.07,29399.61,29314.66,29350.0,36.1361,1060594.71
2023-01-02 23:00:00,29350.0,29422.54,29309.1,29412.06,14.4087,423789.52
2023-01-03 00:00:00,29412.06,29455.15,29371.18,29432.27,2.9297,86227.72
2023-01-03 01:00:00,29432.27,29453.96,29247.59,29328.49,1.5207,44599.84
2023-01-03 02:00:00,29328.49,29436.1,29224.93,29347.5,46.6024,1367663.94
2023-01-03 03:00:00,29347.5,29379.34,29306.82,29324.9,12.9778,380572.66
2023-01-03 04:00:00,29324.9,29358.45,29212.81,29285.2,22.671,663924.69
2023-01-03 05:00:00,29285.2,29375.81,29214.71,29321.02,47.5535,1394317.25
2023-01-03 06:00:00,29321.02,29436.71,29292.35,29381.48,23.6421,694639.95
2023-01-03 07:00:00,29381.48,29457.88,29337.68,29436.21,4.3912,129260.27
2023-01-03 08:00:00,29436.21,29447.34,29347.36,29386.8,27.8208,817564.3
2023-01-03 09:00:00,29386.8,29470.9,29313.19,29368.63,4.8658,142901.87
2023-01-03 10:00:00,29368.63,29411.99,29306.57,29388.08,5.2068,153017.88
2023-01-03 11:00:00,29388.08,29517.4,29281.65,29445.42,42.6481,1255791.36
2023-01-03 12:00:00,29445.42,29452.41,29394.68,29417.2,14.8264,436151.24
2023-01-03 13:00:00,29417.2,29429.13,29379.8,29406.28,34.0942,1002583.63
2023-01-03 14:00:00,29406.28,29450.56,29303.84,29341.21,25.6918,753828.62
2023-01-03 15:00:00,29341.21,29430.3,29243.0,29271.02,11.5052,336768.92
2023-01-03 16:00:00,29271.02,29386.82,29184.5,29318.59,26.1321,766156.21
2023-01-03 17:00:00,29318.59,29400.74,29231.03,29398.11,3.9152,115099.49
2023-01-03 18:00:00,29398.11,29411.93,29362.2,29393.88,17.687,519889.51
2023-01-03 19:00:00,29393.88,29474.56,29369.49,29452.87,26.3804,776978.57
2023-01-03 20:00:00,29452.87,29484.96,29446.04,29474.18,11.8055,347957.38
2023-01-03 21:00:00,29474.18,29491.8,29392.15,29436.15,33.1793,976670.74
2023-01-03 22:00:00,29436.15,29479.47,29398.96,29457.42,3.0647,90278.16
2023-01-03 23:00:00,29457.42,29603.86,29423.41,29548.04,24.4981,723870.74
2023-01-04 00:00:00,29548.04,29597.43,29541.65,29545.92,35.8923,1060470.98
2023-01-04 01:00:00,29545.92,29661.34,29487.05,29638.38,21.7823,645592.01
2023-01-04 02:00:00,29638.38,29684.26,29461.82,29483.09,43.792,1291123.33
2023-01-04 03:00:00,29483.09,29547.07,29441.19,29531.55,31.7935,938911.37
2023-01-04 04:00:00,29531.55,29569.53,29465.19,29536.69,47.9454,1416148.53
2023-01-04 05:00:00,29536.69,29590.61,29502.7,29519.03,14.564,429915.14
2023-01-04 06:00:00,29519.03,29542.39,29506.55,29524.45,46.9701,1386766.19
2023-01-04 07:00:00,29524.45,29576.44,29399.0,29407.08,30.5377,898024.66
2023-01-04 08:00:00,29407.08,29499.52,29380.42,29394.16,37.3864,1098941.93
2023-01-04 09:00:00,29394.16,29480.54,29365.11,29415.16,45.157,1328300.23
2023-01-04 10:00:00,29415.16,29515.78,29270.45,29502.1,27.7843,819695.25
2023-01-04 11:00:00,29502.1,29580.44,29411.88,29471.52,43.1779,1272518.41
2023-01-04 12:00:00,29471.52,29501.48,29334.13,29423.87,27.314,803683.49
2023-01-04 13:00:00,29423.87,29432.65,29363.72,29394.34,30.1603,886542.09
2023-01-04 14:00:00,29394.34,29496.58,29341.01,29448.15,22.5324,663537.6
2023-01-04 15:00:00,29448.15,29536.61,29441.3,29467.52,7.7091,227168.03
2023-01-04 16:00:00,29467.52,29506.02,29426.92,29436.3,27.8984,821225.54
2023-01-04 17:00:00,29436.3,29541.82,29386.52,29466.51,48.8837,1440432.17
2023-01-04 18:00:00,29466.51,29494.18,29463.78,29472.23,39.4657,1163142.34
2023-01-04 19:00:00,29472.23,29586.28,29432.6,29529.33,37.5012,1107385.31
2023-01-04 20:00:00,29529.33,29652.24,29421.95,29487.87,32.3438,953749.7
2023-01-04 21:00:00,29487.87,29536.91,29425.26,29468.54,17.7215,522226.8
2023-01-04 22:00:00,29468.54,29474.23,29415.46,29445.43,8.896,261946.58
2023-01-04 23:00:00,29445.43,29525.39,29306.22,29359.25,11.6153,341016.45
2023-01-05 00:00:00,29359.25,29410.29,29310.84,29376.63,0.8129,23880.27
2023-01-05 01:00:00,29376.63,29407.23,29284.71,29391.97,33.8373,994544.97
2023-01-05 02:00:00,29391.97,29412.28,29304.79,29392.27,40.6879,1195909.84
2023-01-05 03:00:00,29392.27,29421.43,29343.0,29378.48,13.8111,405749.16
2023-01-05 04:00:00,29378.48,29448.76,29199.84,29295.32,5.0466,147841.76
2023-01-05 05:00:00,29295.32,29305.36,29231.16,29270.67,17.1185,501070.03
2023-01-05 06:00:00,29270.67,29375.8,29172.56,29250.61,14.9565,437486.76
2023-01-05 07:00:00,29250.61,29284.29,29162.11,29203.68,22.8184,666381.17
2023-01-05 08:00:00,29203.68,29246.59,29166.95,29194.26,13.5731,396256.56
2023-01-05 09:00:00,29194.26,29245.16,29168.31,29217.85,17.3168,505959.63
2023-01-05 10:00:00,29217.85,29356.21,29212.82,29328.07,45.424,1332198.19
2023-01-05 11:00:00,29328.07,29343.68,29302.36,29338.31,17.0743,500931.08
2023-01-05 12:00:00,29338.31,29357.26,29275.73,29353.42,39.3831,1156028.71
2023-01-05 13:00:00,29353.42,29419.09,29326.24,29349.05,31.4788,923872.89
2023-01-05 14:00:00,29349.05,29383.87,29155.83,29236.42,17.2081,503103.28
2023-01-05 15:00:00,29236.42,29329.63,29227.02,29234.87,40.9805,1198059.67
2023-01-05 16:00:00,29234.87,29271.96,29212.0,29238.39,29.9563,875874.09
2023-01-05 17:00:00,29238.39,29386.9,29173.36,29382.44,0.9266,27225.77
2023-01-05 18:00:00,29382.44,29396.5,29356.25,29371.13,3.902,114606.16
2023-01-05 19:00:00,29371.13,29395.02,29360.48,29388.85,37.7557,1109596.43
2023-01-05 20:00:00,29388.85,29411.08,29371.48,29386.81,22.6031,664232.9
2023-01-05 21:00:00,29386.81,29408.5,29273.4,29318.12,20.5726,603149.91
2023-01-05 22:00:00,29318.12,29422.78,29293.78,29385.13,7.7184,226806.18
2023-01-05 23:00:00,29385.13,29485.47,29319.27,29429.32,8.2873,243889.6
2023-01-06 00:00:00,29429.32,29601.04,29387.93,29475.88,39.9887,1178702.08
2023-01-06 01:00:00,29475.88,29500.08,29410.12,29422.27,41.5363,1222092.19
2023-01-06 02:00:00,29422.27,29539.78,29335.18,29504.82,28.2201,832628.85
2023-01-06 03:00:00,29504.82,29585.2,29382.85,29422.09,15.1088,444532.52
2023-01-06 04:00:00,29422.09,29470.61,29368.23,29456.63,46.6687,1374702.45
2023-01-06 05:00:00,29456.63,29592.03,29385.77,29585.67,31.3861,928578.89
2023-01-06 06:00:00,29585.67,29609.31,29346.92,29527.06,39.9338,1179127.78
2023-01-06 07:00:00,29527.06,29663.18,29491.54,29493.62,0.6625,19539.52
2023-01-06 08:00:00,29493.62,29507.8,29422.6,29499.5,22.7908,672317.15
2023-01-06 09:00:00,29499.5,29556.98,29419.16,29469.79,43.612,1285236.61
2023-01-06 10:00:00,29469.79,29486.01,29328.6,29378.4,17.2425,506557.02
2023-01-06 11:00:00,29378.4,29434.24,29289.69,29382.43,36.4643,1071409.6
2023-01-06 12:00:00,29382.43,29425.2,29299.03,29320.0,33.0549,969169.67
2023-01-06 13:00:00,29320.0,29361.45,29295.07,29347.77,8.0348,235803.47
2023-01-06 14:00:00,29347.77,29400.39,29277.82,29293.81,38.8577,1138289.9
2023-01-06 15:00:00,29293.81,29408.39,29284.67,29384.61,6.0701,178367.54
2023-01-06 16:00:00,29384.61,29444.28,29322.66,29338.58,36.5317,1071788.24
